id,type_loi,numero_loi,texte_legal,texte_fr,explication,exemple,amende,points,peine_min_ans,peine_max_ans,prison_mois,suspension_mois
CR_013,قانون السير,52-05,يُلزم جميع ركاب المركبة بربط حزام الأمان. مخالفة هذا الإلزام تستوجب غرامة مالية وسحب نقاط.,Le port de la ceinture de sécurité est obligatoire pour tous les passagers.,حزام الأمان إلزامي للسائق وجميع الركاب في المقاعد الأمامية والخلفية لضمان السلامة الطرقية.,سائق بدون حزام أمان: غرامة 300 درهم + سحب نقطتين + مخالفة مرورية.,300,2,,,,
CR_014,قانون السير,52-05,يُلزم جميع ركاب المركبة بربط حزام الأمان. مخالفة هذا الإلزام تستوجب غرامة مالية وسحب نقاط.,Le port de la ceinture de sécurité est obligatoire pour tous les passagers.,حزام الأمان إلزامي للسائق وجميع الركاب في المقاعد الأمامية والخلفية لضمان السلامة الطرقية.,سائق بدون حزام أمان: غرامة 300 درهم + سحب نقطتين + مخالفة مرورية.,300,2,,,,
CR_015,قانون السير,52-05,يُلزم جميع ركاب المركبة بربط حزام الأمان. مخالفة هذا الإلزام تستوجب غرامة مالية وسحب نقاط.,Le port de la ceinture de sécurité est obligatoire pour tous les passagers.,حزام الأمان إلزامي للسائق وجميع الركاب في المقاعد الأمامية والخلفية لضمان السلامة الطرقية.,سائق بدون حزام أمان: غرامة 300 درهم + سحب نقطتين + مخالفة مرورية.,300,2,,,,
CR_016,قانون السير,52-05,يحظر استخدام الهاتف المحمول أثناء القيادة إلا بواسطة سماعة لاسلكية. المخالفة تستوجب عقوبات رادعة.,L'usage du téléphone portable en conduisant (sans kit mains libres) est interdit.,استخدام الهاتف باليد خلال القيادة يشتت انتباه السائق ويزيد خطر الحوادث بنسبة 400%.,سائق يتحدث بهاتفه دون سماعة أثناء القيادة: غرامة 700 درهم وسحب 3 نقاط.,700,3,,,,
CR_017,قانون السير,52-05,يحظر استخدام الهاتف المحمول أثناء القيادة إلا بواسطة سماعة لاسلكية. المخالفة تستوجب عقوبات رادعة.,L'usage du téléphone portable en conduisant (sans kit mains libres) est interdit.,استخدام الهاتف باليد خلال القيادة يشتت انتباه السائق ويزيد خطر الحوادث بنسبة 400%.,سائق يتحدث بهاتفه دون سماعة أثناء القيادة: غرامة 700 درهم وسحب 3 نقاط.,700,3,,,,
CR_018,قانون السير,52-05,يحظر استخدام الهاتف المحمول أثناء القيادة إلا بواسطة سماعة لاسلكية. المخالفة تستوجب عقوبات رادعة.,L'usage du téléphone portable en conduisant (sans kit mains libres) est interdit.,استخدام الهاتف باليد خلال القيادة يشتت انتباه السائق ويزيد خطر الحوادث بنسبة 400%.,سائق يتحدث بهاتفه دون سماعة أثناء القيادة: غرامة 700 درهم وسحب 3 نقاط.,700,3,,,,
CR_019,قانون السير,52-05,القيادة بدون رخصة سياقة أو برخصة منتهية الصلاحية يعرض السائق لعقوبات تشمل الغرامة والحبس.,Conduite sans permis: amende de 2000 à 4000 DH et peine d'emprisonnement.,رخصة السياقة وثيقة إجبارية لقيادة المركبات. القيادة بدونها جريمة يعاقب عليها القانون.,شخص ضُبط يقود سيارة بدون رخصة: حكم بغرامة 3000 درهم وسجن شهرين موقوفي التنفيذ.,2212,4,,,1,
CR_020,قانون السير,52-05,القيادة بدون رخصة سياقة أو برخصة منتهية الصلاحية يعرض السائق لعقوبات تشمل الغرامة والحبس.,Conduite sans permis: amende de 2000 à 4000 DH et peine d'emprisonnement.,رخصة السياقة وثيقة إجبارية لقيادة المركبات. القيادة بدونها جريمة يعاقب عليها القانون.,شخص ضُبط يقود سيارة بدون رخصة: حكم بغرامة 3000 درهم وسجن شهرين موقوفي التنفيذ.,2986,4,,,2,
CR_021,قانون السير,52-05,القيادة بدون رخصة سياقة أو برخصة منتهية الصلاحية يعرض السائق لعقوبات تشمل الغرامة والحبس.,Conduite sans permis: amende de 2000 à 4000 DH et peine d'emprisonnement.,رخصة السياقة وثيقة إجبارية لقيادة المركبات. القيادة بدونها جريمة يعاقب عليها القانون.,شخص ضُبط يقود سيارة بدون رخصة: حكم بغرامة 3000 درهم وسجن شهرين موقوفي التنفيذ.,2642,4,,,1,
DP_022,القانون الجنائي,الفصل 505,السرقة البسيطة وفق الفصل 505 من القانون الجنائي المغربي يُعاقب عليها بالحبس.,Le vol simple (art. الفصل 505 CP) est puni de 1 à 5 ans d'emprisonnement.,عقوبة السرقة البسيطة تتراوح بين 1 و5 سنوات سجن وغرامة مالية حسب ظروف الجريمة.,شخص ارتكب السرقة البسيطة وحكم عليه بالسجن 4 سنوات.,,,1,5,,
DP_023,القانون الجنائي,الفصل 506,السرقة الموصوفة وفق الفصل 506 من القانون الجنائي المغربي يُعاقب عليها بالحبس.,Le vol qualifié (art. الفصل 506 CP) est puni de 5 à 10 ans d'emprisonnement.,عقوبة السرقة الموصوفة تتراوح بين 5 و10 سنوات سجن وغرامة مالية حسب ظروف الجريمة.,شخص ارتكب السرقة الموصوفة وحكم عليه بالسجن 6 سنوات.,,,5,10,,
DP_024,القانون الجنائي,الفصل 507,السرقة بالعنف وفق الفصل 507 من القانون الجنائي المغربي يُعاقب عليها بالحبس.,Le vol avec violence (art. الفصل 507 CP) est puni de 10 à 20 ans d'emprisonnement.,عقوبة السرقة بالعنف تتراوح بين 10 و20 سنوات سجن وغرامة مالية حسب ظروف الجريمة.,شخص ارتكب السرقة بالعنف وحكم عليه بالسجن 19 سنوات.,,,10,20,,
DP_025,القانون الجنائي,الفصل 508,السرقة باستعمال السلاح وفق الفصل 508 من القانون الجنائي المغربي يُعاقب عليها بالحبس.,Le vol à main armée (art. الفصل 508 CP) est puni de 15 à 30 ans d'emprisonnement.,عقوبة السرقة باستعمال السلاح تتراوح بين 15 و30 سنوات سجن وغرامة مالية حسب ظروف الجريمة.,شخص ارتكب السرقة باستعمال السلاح وحكم عليه بالسجن 26 سنوات.,,,15,30,,
DP_026,القانون الجنائي,الفصل 392,القتل العمد وفق الفصل 392 من القانون الجنائي المغربي.,Meurtre volontaire (art. الفصل 392 CP),القانون يميز بين القتل العمد (نية جنائية) والقتل الخطأ (إهمال). عقوبة القتل العمد تصل إلى الإعدام أو السجن المؤبد.,شخص أدين بـالقتل العمد وحكم عليه بـالإعدام أو السجن المؤبد.,,,,,,
DP_027,القانون الجنائي,الفصل 432,القتل الخطأ وفق الفصل 432 من القانون الجنائي المغربي.,Homicide involontaire (art. الفصل 432 CP),"القانون يميز بين القتل العمد (نية جنائية) والقتل الخطأ (إهمال). عقوبة القتل الخطأ تصل إلى (3, 60).","شخص أدين بـالقتل الخطأ وحكم عليه بـ(3, 60).",,,,,,
DP_028,القانون الجنائي,الفصل 393,القتل مع سبق الإصرار وفق الفصل 393 من القانون الجنائي المغربي.,Meurtre avec préméditation (art. الفصل 393 CP),القانون يميز بين القتل العمد (نية جنائية) والقتل الخطأ (إهمال). عقوبة القتل مع سبق الإصرار تصل إلى الإعدام.,شخص أدين بـالقتل مع سبق الإصرار وحكم عليه بـالإعدام.,,,,,,
DP_029,القانون الجنائي,الفصل 418,القتل بدافع العار وفق الفصل 418 من القانون الجنائي المغربي.,Meurtre pour cause d'honneur (art. الفصل 418 CP),"القانون يميز بين القتل العمد (نية جنائية) والقتل الخطأ (إهمال). عقوبة القتل بدافع العار تصل إلى (12, 30).","شخص أدين بـالقتل بدافع العار وحكم عليه بـ(12, 30).",,,,,,
DP_030,القانون الجنائي,الفصل 248,الرشوة وفق الفصل 248 من القانون الجنائي المغربي.,La corruption (art. الفصل 248 CP) est puni de 2 à 10 ans d'emprisonnement.,جريمة La corruption يعاقب عليها القانون بالسجن من 2 إلى 10 سنة وغرامة مالية كبيرة.,شخص أدين بـالرشوة وحكم عليه بالسجن 8 سنوات وغرامة 50000 درهم.,,,,,,
DP_031,القانون الجنائي,الفصل 257,اختلاس أموال عامة وفق الفصل 257 من القانون الجنائي المغربي.,Le détournement de fonds publics (art. الفصل 257 CP) est puni de 3 à 15 ans d'emprisonnement.,جريمة Le détournement de fonds publics يعاقب عليها القانون بالسجن من 3 إلى 15 سنة وغرامة مالية كبيرة.,شخص أدين بـاختلاس أموال عامة وحكم عليه بالسجن 3 سنوات وغرامة 100000 درهم.,,,,,,
DP_032,القانون الجنائي,الفصل 574,تبييض الأموال وفق الفصل 574 من القانون الجنائي المغربي.,Le blanchiment d'argent (art. الفصل 574 CP) est puni de 5 à 20 ans d'emprisonnement.,جريمة Le blanchiment d'argent يعاقب عليها القانون بالسجن من 5 إلى 20 سنة وغرامة مالية كبيرة.,شخص أدين بـتبييض الأموال وحكم عليه بالسجن 19 سنوات وغرامة 200000 درهم.,,,,,,
DP_033,القانون الجنائي,الفصل 467-1,الاتجار بالبشر وفق الفصل 467-1 من القانون الجنائي المغربي.,La traite des êtres humains (art. الفصل 467-1 CP) est puni de 10 à 30 ans d'emprisonnement.,جريمة La traite des êtres humains يعاقب عليها القانون بالسجن من 10 إلى 30 سنة وغرامة مالية كبيرة.,شخص أدين بـالاتجار بالبشر وحكم عليه بالسجن 23 سنوات وغرامة 300000 درهم.,,,,,,
DP_034,القانون الجنائي,الفصل 485,الاعتداء الجنسي وفق الفصل 485 من القانون الجنائي المغربي.,L'agression sexuelle (art. الفصل 485 CP) est puni de 2 à 10 ans d'emprisonnement.,جريمة L'agression sexuelle يعاقب عليها القانون بالسجن من 2 إلى 10 سنة وغرامة مالية كبيرة.,شخص أدين بـالاعتداء الجنسي وحكم عليه بالسجن 7 سنوات وغرامة 50000 درهم.,,,,,,
DF_035,مدونة الأسرة,المادة 79,وفق المادة 79 من مدونة الأسرة، يحق للزوجة طلب الطلاق للشقاق دون موافقة الزوج.,Divorce pour discorde selon l'article المادة 79 du Code de la Famille.,الطلاق للشقاق من أنواع الطلاق في القانون المغربي: تطلب الزوجة الطلاق وتثبت الشقاق، وتعيّن المحكمة حكمين للإصلاح.,في حالة الطلاق للشقاق، المحكمة تطبق المادة 79 لضمان حقوق الطرفين.,,,,,,
DF_036,مدونة الأسرة,المادة 85,وفق المادة 85 من مدونة الأسرة، الطلاق الذي لا يحسم العلاقة الزوجية نهائياً خلال فترة العدة.,Divorce révocable selon l'article المادة 85 du Code de la Famille.,الطلاق الرجعي من أنواع الطلاق في القانون المغربي: يطلق الزوج زوجته طلقة واحدة، ولها حق الرجوع خلال عدة الطلاق.,في حالة الطلاق الرجعي، المحكمة تطبق المادة 85 لضمان حقوق الطرفين.,,,,,,
DF_037,مدونة الأسرة,المادة 86,وفق المادة 86 من مدونة الأسرة، الطلاق الذي يحسم العلاقة الزوجية نهائياً.,Divorce irrévocable selon l'article المادة 86 du Code de la Famille.,الطلاق البائن من أنواع الطلاق في القانون المغربي: طلاق بعد الطلقة الثالثة أو الخلع.,في حالة الطلاق البائن، المحكمة تطبق المادة 86 لضمان حقوق الطرفين.,,,,,,
DF_038,مدونة الأسرة,المادة 115,وفق المادة 115 من مدونة الأسرة، الزوجة تفتدي نفسها من الزواج بتعويض مالي.,Le Khôl selon l'article المادة 115 du Code de la Famille.,الخلع من أنواع الطلاق في القانون المغربي: زوجة تطلب الخلع وتتنازل عن حقوقها المالية مقابل الطلاق.,في حالة الخلع، المحكمة تطبق المادة 115 لضمان حقوق الطرفين.,,,,,,
DF_039,مدونة الأسرة,المادة 164,وفق المادة 164 من مدونة الأسرة، للأم حق حضانة أطفالها بعد الطلاق ما لم تثبت عدم أهليتها.,Garde maternelle selon l'article المادة 164 du Code de la Famille.,حضانة الأم في القانون المغربي: أم تحتفظ بحضانة أطفالها بعد الطلاق.,قضية حضانة تطبق المادة 164 من مدونة الأسرة.,,,,,,
DF_040,مدونة الأسرة,المادة 166,وفق المادة 166 من مدونة الأسرة، في حالة زواج الأم، تنتقل الحضانة للأب أو الجدة.,Transfert de garde selon l'article المادة 166 du Code de la Famille.,انتقال الحضانة في القانون المغربي: زواج الأم يؤدي لنقل الحضانة للأب.,قضية حضانة تطبق المادة 166 من مدونة الأسرة.,,,,,,
DF_041,مدونة الأسرة,المادة 170,وفق المادة 170 من مدونة الأسرة، الحضانة تسقط بإهمال المربي أو إدمانه أو إصابته بمرض خطير.,Perte de garde selon l'article المادة 170 du Code de la Famille.,سقوط الحضانة في القانون المغربي: حكم قضائي يسقط الحضانة عن الأب لسلوكه العنيف.,قضية حضانة تطبق المادة 170 من مدونة الأسرة.,,,,,,
DF_042,مدونة الأسرة,المادة 180,وفق المادة 180 من مدونة الأسرة، للأب غير الحاضن حق زيارة أبنائه وفق ما تقره المحكمة.,Droit de visite selon l'article المادة 180 du Code de la Famille.,زيارة المحضون في القانون المغربي: محكمة تنظم حق الزيارة للأب كل أسبوع.,قضية حضانة تطبق المادة 180 من مدونة الأسرة.,,,,,,
DF_043,مدونة الأسرة,المادة 194,وفق المادة 194 من مدونة الأسرة، النفقة واجبة على الأب تجاه أبنائه حتى سن الرشد.,La pension alimentaire est régie par l'article 194 du Code de la Famille.,النفقة تشمل السكن والغذاء والكسوة والتعليم والعلاج. تحدد المحكمة قيمتها حسب دخل الأب واحتياجات الأبناء.,أب يرفض دفع النفقة: المحكمة تحجز راتبه لصالح أبنائه بناء على المادة 194.,,,,,,
DF_044,مدونة الأسرة,المادة 195,وفق المادة 195 من مدونة الأسرة، النفقة واجبة على الأب تجاه أبنائه حتى سن الرشد.,La pension alimentaire est régie par l'article 195 du Code de la Famille.,النفقة تشمل السكن والغذاء والكسوة والتعليم والعلاج. تحدد المحكمة قيمتها حسب دخل الأب واحتياجات الأبناء.,أب يرفض دفع النفقة: المحكمة تحجز راتبه لصالح أبنائه بناء على المادة 195.,,,,,,
DF_045,مدونة الأسرة,المادة 196,وفق المادة 196 من مدونة الأسرة، النفقة واجبة على الأب تجاه أبنائه حتى سن الرشد.,La pension alimentaire est régie par l'article 196 du Code de la Famille.,النفقة تشمل السكن والغذاء والكسوة والتعليم والعلاج. تحدد المحكمة قيمتها حسب دخل الأب واحتياجات الأبناء.,أب يرفض دفع النفقة: المحكمة تحجز راتبه لصالح أبنائه بناء على المادة 196.,,,,,,
DF_046,مدونة الأسرة,المادة 197,وفق المادة 197 من مدونة الأسرة، النفقة واجبة على الأب تجاه أبنائه حتى سن الرشد.,La pension alimentaire est régie par l'article 197 du Code de la Famille.,النفقة تشمل السكن والغذاء والكسوة والتعليم والعلاج. تحدد المحكمة قيمتها حسب دخل الأب واحتياجات الأبناء.,أب يرفض دفع النفقة: المحكمة تحجز راتبه لصالح أبنائه بناء على المادة 197.,,,,,,
SJ_047,المحكمة الابتدائية,القانون التنظيمي للسلطة القضائية,المحكمة الابتدائية هي الدرجة الأولى من التقاضي في النظام القضائي المغربي.,Tribunal de première instance,المحكمة الابتدائية: تختص بالقضايا المدنية والجنائية والتجارية والأسرية.,رفع دعوى استرداد دين بأقل من 50000 درهم,,,,,,
SJ_048,محكمة الاستئناف,القانون التنظيمي للسلطة القضائية,محكمة الاستئناف هي الدرجة الثانية من التقاضي في النظام القضائي المغربي.,Cour d'appel,محكمة الاستئناف: تنظر في الطعون ضد أحكام المحاكم الابتدائية خلال 30 يوماً.,استئناف حكم ابتدائي لدى محكمة الاستئناف,,,,,,
SJ_049,محكمة النقض,القانون التنظيمي للسلطة القضائية,محكمة النقض هي أعلى هيئة قضائية في النظام القضائي المغربي.,Cour de cassation,محكمة النقض: تراقب صحة تطبيق القانون دون مراجعة الوقائع.,طعن بالنقض في حكم استئناف لمخالفة القانون,,,,,,
SJ_050,القضاء الإداري,القانون التنظيمي للسلطة القضائية,القضاء الإداري هي محاكم إدارية للنزاعات مع الإدارة في النظام القضائي المغربي.,Juridiction administrative,القضاء الإداري: تختص بالقضايا ضد الدولة والجماعات المحلية.,موظف يطعن في قرار إداري,,,,,,
SJ_051,المجلس الأعلى للسلطة القضائية,القانون التنظيمي للسلطة القضائية,المجلس الأعلى للسلطة القضائية هي هيئة مستقلة لتسيير القضاء في النظام القضائي المغربي.,Conseil supérieur du pouvoir judiciaire,المجلس الأعلى للسلطة القضائية: تسهر على استقلالية القضاء وتعيين القضاة.,تقييم عمل القضاة وترقياتهم,,,,,,
SJ_052,المسطرة المدنية,قانون المسطرة المدنية,إجراءات رفع دعوى مدنية: تقديم مقال افتتاحي + أداء الرسوم القضائية + إرفاق الوثائق.,Procédure de رفع دعوى مدنية selon le Code de Procédure Civile.,المسطرة القضائية لـرفع دعوى مدنية تخضع لأحكام قانون المسطرة المدنية.,مواطن يتبع إجراءات رفع دعوى مدنية وفق القانون.,,,,,,
SJ_053,المسطرة المدنية,قانون المسطرة المدنية,إجراءات الاستئناف: تقديم عريضة استئناف خلال 30 يوماً من تاريخ التبليغ.,Procédure de الاستئناف selon le Code de Procédure Civile.,المسطرة القضائية لـالاستئناف تخضع لأحكام قانون المسطرة المدنية.,مواطن يتبع إجراءات الاستئناف وفق القانون.,,,,,,
SJ_054,المسطرة المدنية,قانون المسطرة المدنية,إجراءات تنفيذ الأحكام: الأحكام النهائية واجبة التنفيذ بواسطة مفوض قضائي.,Procédure de تنفيذ الأحكام selon le Code de Procédure Civile.,المسطرة القضائية لـتنفيذ الأحكام تخضع لأحكام قانون المسطرة المدنية.,مواطن يتبع إجراءات تنفيذ الأحكام وفق القانون.,,,,,,
SJ_055,المسطرة المدنية,قانون المسطرة المدنية,إجراءات الصلح القضائي: إمكانية الصلح أمام القاضي في القضايا المدنية والأسرية.,Procédure de الصلح القضائي selon le Code de Procédure Civile.,المسطرة القضائية لـالصلح القضائي تخضع لأحكام قانون المسطرة المدنية.,مواطن يتبع إجراءات الصلح القضائي وفق القانون.,,,,,,
DC_056,قانون الالتزامات والعقود,قانون الالتزامات والعقود (DOC),من شروط صحة العقد وفق قانون الالتزامات والعقود: الأهلية: 18 سنة كاملة، ورشد، وعدم الحجر.,Condition de validité du contrat: الأهلية.,الأهلية شرط أساسي لصحة العقد وإنتاجه للآثار القانونية.,عدم توفر شرط الأهلية يؤدي إلى بطلان العقد.,,,,,,
DC_057,قانون الالتزامات والعقود,قانون الالتزامات والعقود (DOC),من شروط صحة العقد وفق قانون الالتزامات والعقود: الرضا: إرادة حرة خالية من العيوب: الإكراه، الغلط، التدليس.,Condition de validité du contrat: الرضا.,الرضا شرط أساسي لصحة العقد وإنتاجه للآثار القانونية.,عدم توفر شرط الرضا يؤدي إلى بطلان العقد.,,,,,,
DC_058,قانون الالتزامات والعقود,قانون الالتزامات والعقود (DOC),من شروط صحة العقد وفق قانون الالتزامات والعقود: المحل المشروع: الموضوع غير مخالف للقانون أو النظام العام.,Condition de validité du contrat: المحل المشروع.,المحل المشروع شرط أساسي لصحة العقد وإنتاجه للآثار القانونية.,عدم توفر شرط المحل المشروع يؤدي إلى بطلان العقد.,,,,,,
DC_059,قانون الالتزامات والعقود,قانون الالتزامات والعقود (DOC),من شروط صحة العقد وفق قانون الالتزامات والعقود: السبب المشروع: الدافع غير مخالف للقانون.,Condition de validité du contrat: السبب المشروع.,السبب المشروع شرط أساسي لصحة العقد وإنتاجه للآثار القانونية.,عدم توفر شرط السبب المشروع يؤدي إلى بطلان العقد.,,,,,,
DC_060,القانون التجاري,17-95 و 5-96,شركة ذات مسؤولية محدودة (SARL) وفق القانون التجاري المغربي. رأس المال الأدنى: 10000 درهم.,شركة ذات مسؤولية محدودة (SARL) selon le code de commerce marocain.,شركة ذات مسؤولية محدودة (SARL): مسؤولية الشركاء محدودة بحصصهم، 1-50 شريكاً.,تأسيس شركة ذات مسؤولية محدودة (SARL) برأس مال 10000 درهم.,,,,,,
DC_061,القانون التجاري,17-95 و 5-96,شركة مساهمة (SA) وفق القانون التجاري المغربي. رأس المال الأدنى: 300000 درهم.,شركة مساهمة (SA) selon le code de commerce marocain.,شركة مساهمة (SA): مسؤولية المساهمين محدودة بمساهمتهم، تنفع للمشاريع الكبرى.,تأسيس شركة مساهمة (SA) برأس مال 300000 درهم.,,,,,,
DC_062,القانون التجاري,17-95 و 5-96,شركة تضامنية (SNC) وفق القانون التجاري المغربي. رأس المال الأدنى: 0 درهم.,شركة تضامنية (SNC) selon le code de commerce marocain.,شركة تضامنية (SNC): مسؤولية الشركاء تضامنية وغير محدودة.,تأسيس شركة تضامنية (SNC) برأس مال غير محدد درهم.,,,,,,
DC_063,القانون التجاري,17-95 و 5-96,شركة في طور التأسيس وفق القانون التجاري المغربي. رأس المال الأدنى: 0 درهم.,شركة في طور التأسيس selon le code de commerce marocain.,شركة في طور التأسيس: مرحلة انتقالية قبل التسجيل الرسمي للشركة.,تأسيس شركة في طور التأسيس برأس مال غير محدد درهم.,,,,,,
